No,type,frame,range,damage,effect ,name
1,スピード,1,1,1,,神速の一撃
2,スピード,2,2,1,,マッハキック
3,スピード,2,1,1,,音を置き去りにした一撃
4,スピード,3,1,1,,マッハキック
5,スピード,3,2,1,技成功時、4-6Fの間テクニックに対して無敵。,ヒットアンドバック
6,スピード,3,2,2,,猫キック
7,スピード,4,2,3,,ウィンターソルト
8,スピード,4,2,2,,糸断
9,スピード,4,3,2,,ラッシュストレート
10,スピード,4,2,2,1ドロー,爆裂拳
11,スピード,5,1,1,"公開後、この技を2Fにしてもいい
（2Fのコンボ技として扱うこともできる）",影分身
12,パワー,2,4,2,,八艘ジャンプ
13,パワー,2,4,3,,ハイパー頭突き
14,パワー,3,4,3,,ハリケーン旋風脚
15,パワー,3,4,4,,ソニックブーン
16,パワー,3,2,2,,ヨーガパンチ
17,パワー,4,2,1,,暗黒ボール
18,パワー,4,2,1,,誇りのバーストストリーム
19,パワー,5,3,1,,パリィン
20,パワー,5,3,1,,盾の構え
21,パワー,6,4,3,"3-4Fの技を受けてもダウンしない。
（SP効果：ダメージ＋１）",ダイナミックインパクト
22,パワー,6,5,5,"コンボ不可
（SP効果：間合い＋１）",誓不殺
23,テクニック,2,1,2,,不抜
24,テクニック,2,2,2,,因果律予想
25,テクニック,3,2,2,,聖なる結界：鏡の力
26,テクニック,3,2,2,,弁慶立ち
27,テクニック,3,3,3,,背負われ投げ
28,テクニック,3,2,3,,スクリューパイプドライバー
29,テクニック,4,2,2,,天岩戸開き
30,テクニック,4,3,3,,スカイダイビングプレス
31,テクニック,5,2,2,3-4Fの間、スピードに対して無敵,飛翔脚
32,テクニック,5,4,2,2-4Fの技を受けた時、ダメージ-1かつダウン状態にならない,水流の構え
33,テクニック,6,2,5,,大紅葉投げ
